"id","brgyCode","brgyDesc","regCode","provCode","citymunCode"
"1","012801001","Adams (Pob.)","01","0128","012801"
"2","012802001","Bani","01","0128","012802"
"3","012802002","Buyon","01","0128","012802"
"4","012802003","Cabaruan","01","0128","012802"
"5","012802004","Cabulalaan","01","0128","012802"
"6","012802005","Cabusligan","01","0128","012802"
"7","012802006","Cadaratan","01","0128","012802"
"8","012802007","Calioet-Libong","01","0128","012802"
"9","012802008","Casilian","01","0128","012802"
"10","012802009","Corocor","01","0128","012802"
"11","012802011","Duripes","01","0128","012802"
"12","012802012","Ganagan","01","0128","012802"
"13","012802013","Libtong","01","0128","012802"
"14","012802014","Macupit","01","0128","012802"
"15","012802015","Nambaran","01","0128","012802"
"16","012802016","Natba","01","0128","012802"
"17","012802017","Paninaan","01","0128","012802"
"18","012802018","Pasiocan","01","0128","012802"
"19","012802019","Pasngal","01","0128","012802"
"20","012802020","Pipias","01","0128","012802"
"21","012802021","Pulangi","01","0128","012802"
"22","012802022","Pungto","01","0128","012802"
"23","012802024","San Agustin I (Pob.)","01","0128","012802"
"24","012802025","San Agustin II (Pob.)","01","0128","012802"
"25","012802027","San Andres I (Pob.)","01","0128","012802"
"26","012802028","San Andres II (Pob.)","01","0128","012802"
"27","012802030","San Gabriel I (Pob.)","01","0128","012802"
"28","012802031","San Gabriel II (Pob.)","01","0128","012802"
"29","012802033","San Pedro I (Pob.)","01","0128","012802"
"30","012802034","San Pedro II (Pob.)","01","0128","012802"
"31","012802036","San Roque I (Pob.)","01","0128","012802"
"32","012802037","San Roque II (Pob.)","01","0128","012802"
"33","012802039","San Simon I (Pob.)","01","0128","012802"
"34","012802040","San Simon II (Pob.)","01","0128","012802"
"35","012802041","San Vicente (Pob.)","01","0128","012802"
"36","012802042","Sangil","01","0128","012802"
"37","012802044","Santa Filomena I (Pob.)","01","0128","012802"
"38","012802045","Santa Filomena II (Pob.)","01","0128","012802"
"39","012802046","Santa Rita (Pob.)","01","0128","012802"
"40","012802047","Santo Cristo I (Pob.)","01","0128","012802"
"41","012802048","Santo Cristo II (Pob.)","01","0128","012802"
"42","012802050","Tambidao","01","0128","012802"
"43","012802051","Teppang","01","0128","012802"
"44","012802052","Tubburan","01","0128","012802"
"45","012803001","Alay-Nangbabaan (Alay 15-B)","01","0128","012803"
"46","012803002","Alogoog","01","0128","012803"
"47","012803003","Ar-arusip","01","0128","012803"
"48","012803004","Aring","01","0128","012803"
"49","012803005","Balbaldez","01","0128","012803"
"50","012803006","Bato","01","0128","012803"
"51","012803007","Camanga","01","0128","012803"
"52","012803008","Canaan (Pob.)","01","0128","012803"
"53","012803009","Caraitan","01","0128","012803"
"54","012803011","Gabut Norte","01","0128","012803"
"55","012803012","Gabut Sur","01","0128","012803"
"56","012803013","Garreta (Pob.)","01","0128","012803"
"57","012803016","Labut","01","0128","012803"
"58","012803017","Lacuben","01","0128","012803"
"59","012803018","Lubigan","01","0128","012803"
"60","012803020","Mabusag Norte","01","0128","012803"
"61","012803021","Mabusag Sur","01","0128","012803"
"62","012803022","Madupayas","01","0128","012803"
"63","012803023","Morong","01","0128","012803"
"64","012803025","Nagrebcan","01","0128","012803"
"65","012803026","Napu","01","0128","012803"
"66","012803027","La Virgen Milagrosa (Paguetpet)","01","0128","012803"
"67","012803028","Pagsanahan Norte","01","0128","012803"
"68","012803029","Pagsanahan Sur","01","0128","012803"
"69","012803030","Paltit","01","0128","012803"
"70","012803031","Parang","01","0128","012803"
"71","012803032","Pasuc","01","0128","012803"
"72","012803034","Santa Cruz Norte","01","0128","012803"
"73","012803035","Santa Cruz Sur","01","0128","012803"
"74","012803036","Saud","01","0128","012803"
"75","012803037","Turod","01","0128","012803"
"76","012804001","Abaca","01","0128","012804"
"77","012804002","Bacsil","01","0128","012804"
"78","012804003","Banban","01","0128","012804"
"79","012804004","Baruyen","01","0128","012804"
"80","012804005","Dadaor","01","0128","012804"
"81","012804006","Lanao","01","0128","012804"
"82","012804007","Malasin","01","0128","012804"
"83","012804008","Manayon","01","0128","012804"
"84","012804009","Masikil","01","0128","012804"
"85","012804010","Nagbalagan","01","0128","012804"
"86","012804011","Payac","01","0128","012804"
"87","012804012","San Lorenzo (Pob.)","01","0128","012804"
"88","012804014","Taguiporo","01","0128","012804"
"89","012804015","Utol","01","0128","012804"
"90","012805001","Aglipay (Pob.)","01","0128","012805"
"91","012805002","Baay","01","0128","012805"
"92","012805003","Baligat","01","0128","012805"
"93","012805004","Bungon","01","0128","012805"
"94","012805005","Baoa East","01","0128","012805"
"95","012805006","Baoa West","01","0128","012805"
"96","012805007","Barani (Pob.)","01","0128","012805"
"97","012805009","Ben-agan (Pob.)","01","0128","012805"
"98","012805010","Bil-loca","01","0128","012805"
"99","012805011","Biningan","01","0128","012805"
"100","012805012","Callaguip (Pob.)","01","0128","012805"
"101","012805013","Camandingan","01","0128","012805"
"102","012805014","Camguidan","01","0128","012805"
"103","012805015","Cangrunaan (Pob.)","01","0128","012805"
"104","012805016","Capacuan","01","0128","012805"
"105","012805017","Caunayan (Pob.)","01","0128","012805"
"106","012805018","Valdez Pob. (Caoayan)","01","0128","012805"
"107","012805019","Colo","01","0128","012805"
"108","012805020","Pimentel (Cubol)","01","0128","012805"
"109","012805021","Dariwdiw","01","0128","012805"
"110","012805022","Acosta Pob. (Iloilo)","01","0128","012805"
"111","012805023","Ablan Pob. (Labucao)","01","0128","012805"
"112","012805024","Lacub (Pob.)","01","0128","012805"
"113","012805025","Mabaleng","01","0128","012805"
"114","012805026","Magnuang","01","0128","012805"
"115","012805027","Maipalig","01","0128","012805"
"116","012805028","Nagbacalan","01","0128","012805"
"117","012805029","Naguirangan","01","0128","012805"
"118","012805030","Ricarte Pob. (Nalasin)","01","0128","012805"
"119","012805031","Palongpong","01","0128","012805"
"120","012805032","Palpalicong (Pob.)","01","0128","012805"
"121","012805033","Parangopong","01","0128","012805"
"122","012805034","Payao","01","0128","012805"
"123","012805035","Quiling Norte","01","0128","012805"
"124","012805036","Quiling Sur","01","0128","012805"
"125","012805037","Quiom","01","0128","012805"
"126","012805038","Rayuray","01","0128","012805"
"127","012805039","San Julian (Pob.)","01","0128","012805"
"128","012805040","San Mateo","01","0128","012805"
"129","012805041","San Pedro","01","0128","012805"
"130","012805042","Suabit (Pob.)","01","0128","012805"
"131","012805043","Sumader","01","0128","012805"
"132","012805044","Tabug","01","0128","012805"
"133","012806001","Ablan Sarat","01","0128","012806"
"134","012806002","Agaga","01","0128","012806"
"135","012806005","Bayog","01","0128","012806"
"136","012806006","Bobon","01","0128","012806"
"137","012806007","Buduan (Malituek)","01","0128","012806"
"138","012806008","Nagsurot","01","0128","012806"
"139","012806009","Paayas","01","0128","012806"
"140","012806010","Pagali","01","0128","012806"
"141","012806011","Poblacion","01","0128","012806"
"142","012806013","Saoit","01","0128","012806"
"143","012806014","Tanap","01","0128","012806"
"144","012807001","Angset","01","0128","012807"
"145","012807003","Barbaqueso (Pob.)","01","0128","012807"
"146","012807004","Virbira","01","0128","012807"
"147","012808001","Anggapang Norte","01","0128","012808"
"148","012808002","Anggapang Sur","01","0128","012808"
"149","012808003","Bimmanga","01","0128","012808"
"150","012808004","Cabuusan","01","0128","012808"
"151","012808005","Comcomloong","01","0128","012808"
"152","012808006","Gaang","01","0128","012808"
"153","012808007","Lang-ayan-Baramban","01","0128","012808"
"154","012808008","Lioes","01","0128","012808"
"155","012808009","Maglaoi Centro","01","0128","012808"
"156","012808010","Maglaoi Norte","01","0128","012808"
"157","012808011","Maglaoi Sur","01","0128","012808"
"158","012808013","Paguludan-Salindeg","01","0128","012808"
"159","012808014","Pangil","01","0128","012808"
"160","012808015","Pias Norte","01","0128","012808"
"161","012808016","Pias Sur","01","0128","012808"
"162","012808017","Poblacion I","01","0128","012808"
"163","012808018","Poblacion II","01","0128","012808"
"164","012808019","Salugan","01","0128","012808"
"165","012808020","San Simeon","01","0128","012808"
"166","012808021","Santa Cruz","01","0128","012808"
"167","012808022","Tapao-Tigue","01","0128","012808"
"168","012808023","Torre","01","0128","012808"
"169","012808024","Victoria","01","0128","012808"
"170","012809001","Albano (Pob.)","01","0128","012809"
"171","012809002","Bacsil","01","0128","012809"
"172","012809003","Bagut","01","0128","012809"
"173","012809004","Parado (Bangay)","01","0128","012809"
"174","012809005","Baresbes","01","0128","012809"
"175","012809006","Barong","01","0128","012809"
"176","012809007","Bungcag","01","0128","012809"
"177","012809009","Cali","01","0128","012809"
"178","012809010","Capasan","01","0128","012809"
"179","012809011","Dancel (Pob.)","01","0128","012809"
"180","012809012","Foz","01","0128","012809"
"181","012809013","Guerrero (Pob.)","01","0128","012809"
"182","012809014","Lanas","01","0128","012809"
"183","012809015","Lumbad","01","0128","012809"
"184","012809016","Madamba (Pob.)","01","0128","012809"
"185","012809017","Mandaloque","01","0128","012809"
"186","012809018","Medina","01","0128","012809"
"187","012809019","Ver (Naglayaan)","01","0128","012809"
"188","012809020","San Marcelino (Padong)","01","0128","012809"
"189","012809021","Puruganan (Pob.)","01","0128","012809"
"190","012809022","Peralta (Pob.)","01","0128","012809"
"191","012809023","Root (Baldias)","01","0128","012809"
"192","012809024","Sagpatan","01","0128","012809"
"193","012809025","Saludares","01","0128","012809"
"194","012809026","San Esteban","01","0128","012809"
"195","012809027","Espiritu","01","0128","012809"
"196","012809028","Sulquiano (Sidiran)","01","0128","012809"
"197","012809029","San Francisco (Surrate)","01","0128","012809"
"198","012809030","Suyo","01","0128","012809"
"199","012809031","San Marcos","01","0128","012809"
"200","012809032","Elizabeth","01","0128","012809"
"201","012810001","Dumalneg","01","0128","012810"
"202","012810002","San Isidro","01","0128","012810"
"203","012811001","Balioeg","01","0128","012811"
"204","012811002","Bangsar","01","0128","012811"
"205","012811003","Barbarangay","01","0128","012811"
"206","012811004","Bomitog","01","0128","012811"
"207","012811005","Bugasi","01","0128","012811"
"208","012811006","Caestebanan","01","0128","012811"
"209","012811008","Caribquib","01","0128","012811"
"210","012811009","Catagtaguen","01","0128","012811"
"211","012811011","Crispina","01","0128","012811"
"212","012811012","Hilario (Pob.)","01","0128","012811"
"213","012811013","Imelda","01","0128","012811"
"214","012811014","Lorenzo (Pob.)","01","0128","012811"
"215","012811015","Macayepyep","01","0128","012811"
"216","012811016","Marcos (Pob.)","01","0128","012811"
"217","012811017","Nagpatayan","01","0128","012811"
"218","012811018","Valdez","01","0128","012811"
"219","012811019","Sinamar","01","0128","012811"
"220","012811020","Tabtabagan","01","0128","012811"
"221","012811021","Valenciano (Pob.)","01","0128","012811"
"222","012811022","Binacag","01","0128","012811"
"223","012812001","Bgy. No. 42, Apaya","01","0128","012812"
"224","012812002","Bgy. No. 36, Araniw","01","0128","012812"
"225","012812003","Bgy. No. 56-A, Bacsil North","01","0128","012812"
"226","012812004","Bgy. No. 56-B, Bacsil South","01","0128","012812"
"227","012812005","Bgy. No. 41, Balacad","01","0128","012812"
"228","012812006","Bgy. No. 40, Balatong","01","0128","012812"
"229","012812007","Bgy. No. 55-A, Barit-Pandan","01","0128","012812"
"230","012812008","Bgy. No. 47, Bengcag","01","0128","012812"
"231","012812009","Bgy. No. 50, Buttong","01","0128","012812"
"232","012812010","Bgy. No. 60-A, Caaoacan","01","0128","012812"
"233","012812011","Bry. No. 48-A, Cabungaan North","01","0128","012812"
"234","012812012","Bgy. No. 48-B, Cabungaan South","01","0128","012812"
"235","012812013","Bgy. No. 37, Calayab","01","0128","012812"
"236","012812014","Bgy. No. 54-B, Camangaan","01","0128","012812"
"237","012812015","Bgy. No. 58, Casili","01","0128","012812"
"238","012812016","Bgy. No. 61, Cataban","01","0128","012812"
"239","012812017","Bgy. No. 43, Cavit","01","0128","012812"
"240","012812019","Bgy. No. 49-A, Darayday","01","0128","012812"
