"id","psgcCode","citymunDesc","regDesc","provCode","citymunCode"
"1","012801000","ADAMS","01","0128","012801"
"2","012802000","BACARRA","01","0128","012802"
"3","012803000","BADOC","01","0128","012803"
"4","012804000","BANGUI","01","0128","012804"
"5","012805000","CITY OF BATAC","01","0128","012805"
"6","012806000","BURGOS","01","0128","012806"
"7","012807000","CARASI","01","0128","012807"
"8","012808000","CURRIMAO","01","0128","012808"
"9","012809000","DINGRAS","01","0128","012809"
"10","012810000","DUMALNEG","01","0128","012810"
"11","012811000","BANNA (ESPIRITU)","01","0128","012811"
"12","012812000","LAOAG CITY (Capital)","01","0128","012812"
"13","012813000","MARCOS","01","0128","012813"
"14","012814000","NUEVA ERA","01","0128","012814"
"15","012815000","PAGUDPUD","01","0128","012815"
"16","012816000","PAOAY","01","0128","012816"
"17","012817000","PASUQUIN","01","0128","012817"
"18","012818000","PIDDIG","01","0128","012818"
"19","012819000","PINILI","01","0128","012819"
"20","012820000","SAN NICOLAS","01","0128","012820"
"21","012821000","SARRAT","01","0128","012821"
"22","012822000","SOLSONA","01","0128","012822"
"23","012823000","VINTAR","01","0128","012823"
"24","012901000","ALILEM","01","0129","012901"
"25","012902000","BANAYOYO","01","0129","012902"
"26","012903000","BANTAY","01","0129","012903"
"27","012904000","BURGOS","01","0129","012904"
"28","012905000","CABUGAO","01","0129","012905"
"29","012906000","CITY OF CANDON","01","0129","012906"
"30","012907000","CAOAYAN","01","0129","012907"
"31","012908000","CERVANTES","01","0129","012908"
"32","012909000","GALIMUYOD","01","0129","012909"
"33","012910000","GREGORIO DEL PILAR (CONCEPCION)","01","0129","012910"
"34","012911000","LIDLIDDA","01","0129","012911"
"35","012912000","MAGSINGAL","01","0129","012912"
"36","012913000","NAGBUKEL","01","0129","012913"
"37","012914000","NARVACAN","01","0129","012914"
"38","012915000","QUIRINO (ANGKAKI)","01","0129","012915"
"39","012916000","SALCEDO (BAUGEN)","01","0129","012916"
"40","012917000","SAN EMILIO","01","0129","012917"
"41","012918000","SAN ESTEBAN","01","0129","012918"
